Project_ID,Project_Name,Division,Start_Date,Status,Budget_Allocated_M,Budget_Spent_M,Research_Category,Patent_Applications,Commercialization_Potential,Timeline_Adherence_Pct,Lead_Scientist,Security_Classification
WC-2307,Vertical Farm Towers,Wayne Construction,2023-07-18,Active,167.4,112.5,Agricultural Technology,7,Medium,79.1,Dr. Marco Silva,Level 1
WC-2308,Atmospheric Water Generators,Wayne Construction,2023-08-28,Active,134.8,89.2,Water Technology,4,High,73.6,Dr. Sarah Kim,Level 1
WC-2309,Modular Housing System,Wayne Construction,2023-09-14,Active,223.9,156.7,Housing Technology,8,Very High,82.9,Dr. Ahmed Hassan,Level 1
WC-2310,Smart Glass Technology,Wayne Construction,2023-10-20,Active,98.4,67.8,Building Materials,5,Medium,78.4,Dr. Nina Kowalski,Level 1
WC-2311,Underground Waste Processing,Wayne Construction,2023-11-25,Active,278.6,189.3,Waste Management,6,High,81.7,Dr. Robert Chen,Level 2
WC-2312,Climate Control Domes,Wayne Construction,2023-12-15,Active,567.9,234.5,Environmental Control,9,Very High,58.2,Dr. Elena Petrov,Level 2
WC-2401,Floating City Platform,Wayne Construction,2024-01-22,Active,789.4,198.7,Marine Engineering,4,Medium,36.8,Dr. Captain Marina Stone,Level 2
WC-2402,Self-Assembling Structures,Wayne Construction,2024-02-28,Active,345.7,89.6,Smart Materials,3,High,42.1,Dr. Felix Mueller,Level 2
WC-2403,Orbital Construction Platform,Wayne Construction,2024-03-18,Active,1234.5,234.8,Space Construction,2,Very High,28.9,Dr. Alexandra Volkov,Level 3
WF-2301,Education AI Tutor,Wayne Foundation,2023-01-10,Completed,45.6,42.3,Educational Technology,2,High,92.8,Dr. Michael Brown,Level 1
WF-2302,Community Health Monitor,Wayne Foundation,2023-02-14,Active,67.8,52.1,Healthcare Technology,4,Very High,84.7,Dr. Linda Garcia,Level 1
WF-2303,Poverty Prediction Model,Wayne Foundation,2023-03-20,Active,34.2,28.9,Social Analytics,1,Medium,89.3,Dr. James Wilson,Level 1
WF-2304,Clean Water Distribution,Wayne Foundation,2023-04-25,Active,89.4,73.6,Water Purification,6,Very High,91.2,Dr. Fatima Al-Zahra,Level 1
WF-2305,Mental Health Support Bot,Wayne Foundation,2023-05-30,Active,56.7,41.2,AI Psychology,3,High,78.9,Dr. David Kim,Level 1
WF-2306,Food Security System,Wayne Foundation,2023-06-15,Active,78.9,62.4,Agricultural AI,5,Very High,85.4,Dr. Maria Santos,Level 1
WF-2307,Disaster Response Network,Wayne Foundation,2023-07-20,Active,123.4,98.7,Emergency Systems,7,Very High,87.6,Dr. Carlos Mendez,Level 2
WF-2308,Elderly Care Assistant,Wayne Foundation,2023-08-25,Active,45.3,34.7,Healthcare Robotics,2,Medium,82.1,Dr. Sophie Laurent,Level 1
WF-2309,Language Learning Platform,Wayne Foundation,2023-09-30,Completed,32.1,30.8,Educational AI,1,High,95.9,Dr. Yuki Tanaka,Level 1
WF-2310,Crime Prevention Analytics,Wayne Foundation,2023-10-15,Active,67.2,48.9,Predictive Analytics,3,Very High,79.8,Dr. Rachel Green,Level 2
WF-2311,Homeless Support Network,Wayne Foundation,2023-11-20,Active,89.7,67.3,Social Technology,4,High,84.2,Dr. Thomas Brown,Level 1
WF-2312,Environmental Monitoring,Wayne Foundation,2023-12-10,Active,54.8,38.6,Environmental Science,2,Medium,76.5,Dr. Emily Watson,Level 1
WF-2401,Digital Literacy Program,Wayne Foundation,2024-01-15,Active,43.2,18.7,Educational Technology,1,High,58.9,Dr. Jennifer Adams,Level 1
WF-2402,Community Safety Network,Wayne Foundation,2024-02-20,Active,78.6,28.4,Safety Technology,3,Very High,52.3,Dr. Kevin O'Brien,Level 2
WF-2403,Youth Mentorship AI,Wayne Foundation,2024-03-25,Active,56.9,19.8,Educational AI,2,Medium,47.1,Dr. Diana Foster,Level 1
